strain	accession	date	country
A/Hong_Kong/CUHK13299/2003	EU856859	2003-03-01	China
A/Hong_Kong/CUHK13339/2003	EU856860	2003-03-03	China
A/Hong_Kong/CUHK13434/2003	EU856861	2003-03-03	China
A/Hong_Kong/CUHK13483/2003	EU856862	2003-03-04	China
A/Hong_Kong/CUHK13510/2001	EU856863	2001-03-16	China
A/Hong_Kong/CUHK13527/2003	EU856864	2003-03-05	China
A/Hong_Kong/CUHK13658/2001	EU856865	2001-03-20	China
A/Hong_Kong/CUHK13763/1999	EU856866	1999-05-15	China
A/Hong_Kong/CUHK14627/1999	EU856867	1999-06-11	China
A/Hong_Kong/CUHK14672/1999	EU856868	1999-06-13	China
A/Hong_Kong/CUHK14875/1999	EU856869	1999-06-20	China
A/Hong_Kong/CUHK16614/1998	EU856871	1998-07-13	China
A/Hong_Kong/CUHK17464/1998	EU856872	1998-08-06	China
A/Hong_Kong/CUHK17603/1998	EU856873	1998-08-12	China
A/Hong_Kong/CUHK17697/1998	EU856875	1998-08-16	China
A/Hong_Kong/CUHK17704/1998	EU856876	1998-08-17	China
A/Hong_Kong/CUHK17707/1998	EU856877	1998-08-18	China
A/Hong_Kong/CUHK17872/1998	EU856878	1998-08-24	China
A/Hong_Kong/CUHK18036/1998	EU856879	1998-08-31	China
A/Hong_Kong/CUHK18194/1998	EU856880	1998-09-04	China
A/Hong_Kong/CUHK18218/1998	EU856881	1998-09-05	China
A/Hong_Kong/CUHK18230/1998	EU856882	1998-09-07	China
A/Hong_Kong/CUHK18351/1998	EU856883	1998-09-10	China
A/Hong_Kong/CUHK18358/1998	EU856884	1998-09-10	China
A/Hong_Kong/CUHK18610/1998	EU856885	1998-09-21	China
A/Hong_Kong/CUHK18886/1998	EU856886	1998-10-03	China
A/Hong_Kong/CUHK19579/1998	EU856887	1998-11-06	China
A/Hong_Kong/CUHK20010/1997	EU856888	1997-06-19	China
A/Hong_Kong/CUHK20169/2000	EU856889	2000-01-07	China
A/Hong_Kong/CUHK20173/2000	EU856890	2000-01-07	China
A/Hong_Kong/CUHK20199/1997	EU856891	1997-07-03	China
A/Hong_Kong/CUHK20213/1997	EU856893	1997-07-03	China
A/Hong_Kong/CUHK20236/1997	EU856895	1997-07-03	China
A/Hong_Kong/CUHK20292/2000	EU856896	2000-01-11	China
A/Hong_Kong/CUHK20294/2000	EU856897	2000-01-12	China
A/Hong_Kong/CUHK20300/2000	EU856898	2000-01-12	China
A/Hong_Kong/CUHK20523/1997	EU856900	1997-07-21	China
A/Hong_Kong/CUHK20731/1997	EU856901	1997-07-30	China
A/Hong_Kong/CUHK20992/1997	EU856902	1997-08-13	China
A/Hong_Kong/CUHK21128/2000	EU856904	2000-02-06	China
A/Hong_Kong/CUHK21164/2004	EU856906	2004-02-12	China
A/Hong_Kong/CUHK21226/2001	EU856907	2001-04-04	China
A/Hong_Kong/CUHK21259/2004	EU856909	2004-02-14	China
A/Hong_Kong/CUHK21582/2002	EU856911	2002-04-02	China
A/Hong_Kong/CUHK21675/2001	EU856912	2001-04-20	China
A/Hong_Kong/CUHK21713/2002	EU856913	2002-04-04	China
A/Hong_Kong/CUHK21733/2001	EU856914	2001-04-21	China
A/Hong_Kong/CUHK21734/2001	EU856915	2001-04-21	China
A/Hong_Kong/CUHK21742/2002	EU856916	2002-04-08	China
A/Hong_Kong/CUHK21891/2001	EU856917	2001-04-26	China
A/Hong_Kong/CUHK21932/2001	EU856918	2001-04-27	China
A/Hong_Kong/CUHK21957/2002	EU856919	2002-04-11	China
A/Hong_Kong/CUHK22013/1997	EU856920	1997-08-14	China
A/Hong_Kong/CUHK22048/1997	EU856921	1997-08-19	China
A/Hong_Kong/CUHK22072/2000	EU856922	2000-03-01	China
A/Hong_Kong/CUHK22078/2000	EU856923	2000-03-02	China
A/Hong_Kong/CUHK22087/2000	EU856924	2000-03-02	China
A/Hong_Kong/CUHK22162/2000	EU856925	2000-03-04	China
A/Hong_Kong/CUHK22163/2000	EU856926	2000-03-05	China
A/Hong_Kong/CUHK22185/1997	EU856927	1997-08-23	China
A/Hong_Kong/CUHK22644/2001	EU856930	2001-05-21	China
A/Hong_Kong/CUHK22736/1997	EU856931	1997-09-12	China
A/Hong_Kong/CUHK22888/2001	EU856932	2001-05-28	China
A/Hong_Kong/CUHK23111/2002	EU856933	2002-05-09	China
A/Hong_Kong/CUHK23113/2002	EU856934	2002-05-10	China
A/Hong_Kong/CUHK23162/2002	EU856935	2002-05-10	China
A/Hong_Kong/CUHK23180/2002	EU856936	2002-05-12	China
A/Hong_Kong/CUHK24054/2002	EU856938	2002-06-02	China
A/Hong_Kong/CUHK24167/2002	EU856940	2002-06-04	China
A/Hong_Kong/CUHK24197/2004	EU856941	2004-03-27	China
A/Hong_Kong/CUHK24289/2004	EU856942	2004-04-02	China
A/Hong_Kong/CUHK24423/2004	EU856943	2004-04-06	China
A/Hong_Kong/CUHK24447/2004	EU856944	2004-04-07	China
A/Hong_Kong/CUHK24510/2001	EU856945	2001-07-15	China
A/Hong_Kong/CUHK24749/2001	EU856946	2001-07-19	China
A/Hong_Kong/CUHK24825/2001	EU856948	2001-07-22	China
A/Hong_Kong/CUHK24882/2001	EU856949	2001-07-23	China
A/Hong_Kong/CUHK24985/2001	EU856950	2001-07-26	China
A/Hong_Kong/CUHK26907/2000	EU856953	2000-07-27	China
A/Hong_Kong/CUHK26969/2000	EU856954	2000-07-29	China
A/Hong_Kong/CUHK26980/2000	EU856955	2000-07-30	China
A/Hong_Kong/CUHK27157/2000	EU856956	2000-08-05	China
A/Hong_Kong/CUHK27348/2000	EU856958	2000-08-11	China
A/Hong_Kong/CUHK27374/2000	EU856959	2000-08-12	China
A/Hong_Kong/CUHK28038/2000	EU856960	2000-09-03	China
A/Hong_Kong/CUHK28278/2000	EU856963	2000-09-10	China
A/Hong_Kong/CUHK30314/1999	EU856965	1999-07-03	China
A/Hong_Kong/CUHK30419/1999	EU856966	1999-07-05	China
A/Hong_Kong/CUHK30423/1999	EU856967	1999-07-06	China
A/Hong_Kong/CUHK30605/1999	EU856968	1999-07-12	China
A/Hong_Kong/CUHK31421/1999	EU856969	1999-08-04	China
A/Hong_Kong/CUHK31448/1999	EU856970	1999-08-04	China
A/Hong_Kong/CUHK31510/1999	EU856972	1999-08-07	China
A/Hong_Kong/CUHK31987/2011	KC342646	2011-11-30	China
A/Hong_Kong/CUHK32796/1999	EU856973	1999-09-20	China
A/Hong_Kong/CUHK33047/2002	EU856974	2002-07-01	China
A/Hong_Kong/CUHK33079/2002	EU856975	2002-07-02	China
A/Hong_Kong/CUHK33106/2002	EU856976	2002-07-02	China
A/Hong_Kong/CUHK33316/2001	EU856978	2001-08-06	China
A/Hong_Kong/CUHK33406/2001	EU856979	2001-08-08	China
A/Hong_Kong/CUHK33416/2001	EU856980	2001-08-09	China
A/Hong_Kong/CUHK33418/2001	EU856981	2001-08-09	China
A/Hong_Kong/CUHK33677/2004	EU856982	2004-05-04	China
A/Hong_Kong/CUHK33851/2004	EU856984	2004-05-08	China
A/Hong_Kong/CUHK33894/2004	EU856986	2004-05-08	China
A/Hong_Kong/CUHK34114/2001	EU856988	2001-08-30	China
A/Hong_Kong/CUHK34175/2002	EU856989	2002-08-01	China
A/Hong_Kong/CUHK34193/1999	EU856991	1999-11-09	China
A/Hong_Kong/CUHK34193/2002	EU856990	2002-08-02	China
A/Hong_Kong/CUHK35011/2004	EU856992	2004-06-01	China
A/Hong_Kong/CUHK35013/2004	EU856993	2004-06-01	China
A/Hong_Kong/CUHK35117/2004	EU856994	2004-06-03	China
A/Hong_Kong/CUHK35435/2004	EU856995	2004-06-10	China
A/Hong_Kong/CUHK40022/2005	EU856996	2005-06-02	China
A/Hong_Kong/CUHK40139/2005	EU856997	2005-06-04	China
A/Hong_Kong/CUHK40210/2005	EU856999	2005-06-06	China
A/Hong_Kong/CUHK40958/2005	EU857000	2005-06-14	China
A/Hong_Kong/CUHK41114/1997	EU857001	1997-12-23	China
A/Hong_Kong/CUHK41222/1997	EU857002	1997-12-25	China
A/Hong_Kong/CUHK41459/1997	EU857003	1997-12-28	China
A/Hong_Kong/CUHK4147/1997	EU857004	1997-03-10	China
A/Hong_Kong/CUHK41757/1997	EU857006	1997-12-30	China
A/Hong_Kong/CUHK42241/2005	EU857007	2005-07-02	China
A/Hong_Kong/CUHK4245/1997	EU857008	1997-03-14	China
A/Hong_Kong/CUHK42644/2005	EU857009	2005-07-09	China
A/Hong_Kong/CUHK42763/2005	EU857010	2005-07-11	China
A/Hong_Kong/CUHK43751/2005	EU857011	2005-07-26	China
A/Hong_Kong/CUHK4391/1997	EU857012	1997-03-22	China
A/Hong_Kong/CUHK45130/2006	EU857013	2006-12-04	China
A/Hong_Kong/CUHK4529/1997	EU857014	1997-04-02	China
A/Hong_Kong/CUHK4542/1997	EU857015	1997-04-02	China
A/Hong_Kong/CUHK4622/1997	EU857016	1997-04-08	China
A/Hong_Kong/CUHK4803/1997	EU857017	1997-04-17	China
A/Hong_Kong/CUHK50080/2001	EU857018	2001-11-08	China
A/Hong_Kong/CUHK50256/2002	EU857020	2002-10-03	China
A/Hong_Kong/CUHK50372/2004	EU857021	2004-07-02	China
A/Hong_Kong/CUHK50552/1998	EU857022	1998-12-21	China
A/Hong_Kong/CUHK50563/2004	EU857023	2004-07-06	China
A/Hong_Kong/CUHK50600/2004	EU857024	2004-07-06	China
A/Hong_Kong/CUHK50722/1998	EU857025	1998-12-30	China
A/Hong_Kong/CUHK50895/2003	EU857026	2003-07-06	China
A/Hong_Kong/CUHK50952/2003	EU857027	2003-07-08	China
A/Hong_Kong/CUHK51353/2003	EU857029	2003-07-18	China
A/Hong_Kong/CUHK51380/2003	EU857030	2003-07-19	China
A/Hong_Kong/CUHK51424/2001	EU857031	2001-12-26	China
A/Hong_Kong/CUHK51431/2001	EU857032	2001-12-26	China
A/Hong_Kong/CUHK51490/2001	EU857033	2001-12-28	China
A/Hong_Kong/CUHK5167/2003	EU857034	2003-01-07	China
A/Hong_Kong/CUHK52011/2003	EU857035	2003-08-05	China
A/Hong_Kong/CUHK52247/2000	EU857036	2000-12-08	China
A/Hong_Kong/CUHK52390/2004	EU857038	2004-08-08	China
A/Hong_Kong/CUHK52467/2003	EU857039	2003-08-18	China
A/Hong_Kong/CUHK5250/2002	EU857040	2002-01-10	China
A/Hong_Kong/CUHK5251/2002	EU857041	2002-01-10	China
A/Hong_Kong/CUHK52863/2004	EU857043	2004-08-17	China
A/Hong_Kong/CUHK52923/2003	EU857044	2003-08-26	China
A/Hong_Kong/CUHK52941/2004	EU857045	2004-08-18	China
A/Hong_Kong/CUHK5296/2002	EU857046	2002-01-12	China
A/Hong_Kong/CUHK5300/2005	EU857047	2005-01-08	China
A/Hong_Kong/CUHK53004/2006	EU857048	2006-03-04	China
A/Hong_Kong/CUHK53005/2006	EU857049	2006-03-04	China
A/Hong_Kong/CUHK53123/2002	EU857050	2002-12-18	China
A/Hong_Kong/CUHK53327/2002	EU857052	2002-12-27	China
A/Hong_Kong/CUHK53726/2004	EU857053	2004-09-02	China
A/Hong_Kong/CUHK53732/2004	EU857054	2004-09-03	China
A/Hong_Kong/CUHK53766/2004	EU857055	2004-09-03	China
A/Hong_Kong/CUHK53907/2006	EU857057	2006-03-19	China
A/Hong_Kong/CUHK5567/2005	EU857058	2005-01-14	China
A/Hong_Kong/CUHK5627/2003	EU857059	2003-01-18	China
A/Hong_Kong/CUHK5723/2003	EU857061	2003-01-20	China
A/Hong_Kong/CUHK60052/2006	EU857062	2006-06-29	China
A/Hong_Kong/CUHK6205/2003	EU857063	2003-02-03	China
A/Hong_Kong/CUHK6206/2002	EU857064	2002-02-03	China
A/Hong_Kong/CUHK6210/2002	EU857065	2002-02-03	China
A/Hong_Kong/CUHK6262/2003	EU857066	2003-02-04	China
A/Hong_Kong/CUHK6377/2003	EU857067	2003-02-07	China
A/Hong_Kong/CUHK6383/2003	EU857068	2003-02-07	China
A/Hong_Kong/CUHK63957/2006	EU857069	2006-09-07	China
A/Hong_Kong/CUHK64082/2006	EU857070	2006-09-10	China
A/Hong_Kong/CUHK6422/2005	EU857071	2005-01-31	China
A/Hong_Kong/CUHK65241/2006	EU857074	2006-09-28	China
A/Hong_Kong/CUHK66001/2006	EU857076	2006-10-13	China
A/Hong_Kong/CUHK6819/2004	EU857077	2004-01-28	China
A/Hong_Kong/CUHK68792/2006	EU857078	2006-12-27	China
A/Hong_Kong/CUHK6898/2005	EU857079	2005-02-12	China
A/Hong_Kong/CUHK69904/2006	EU857080	2006-12-29	China
A/Hong_Kong/CUHK70435/2003	EU857081	2003-09-10	China
A/Hong_Kong/CUHK7047/2005	EU857082	2005-02-16	China
A/Hong_Kong/CUHK71313/2003	EU857083	2003-09-21	China
A/Hong_Kong/CUHK72014/2003	EU857084	2003-09-27	China
A/Hong_Kong/CUHK7221/2005	EU857085	2005-02-20	China
A/Hong_Kong/CUHK74438/2003	EU857086	2003-11-14	China
A/Hong_Kong/CUHK74457/2003	EU857087	2003-11-14	China
A/Hong_Kong/CUHK7546/2005	EU857088	2005-02-27	China
A/Hong_Kong/CUHK75994/2003	EU857089	2003-12-20	China
A/Hong_Kong/CUHK7670/2005	EU857090	2005-03-01	China
A/Hong_Kong/CUHK7711/2005	EU857091	2005-03-01	China
A/Hong_Kong/CUHK7733/2005	EU857092	2005-03-02	China
A/Hong_Kong/CUHK8333/2005	EU857093	2005-03-11	China
A/Hong_Kong/CUHK83422/2003	EU857094	2003-12-30	China
A/Hong_Kong/H090_662_V10/2009	CY115464	2009-06-30	Hong Kong
A/Hong_Kong/H090_662_V1_0_/2009	JN256689	2009-06-30	China
A/Hong_Kong/H090_669_V10/2009	CY106584	2009-07-04	Hong Kong
A/Hong_Kong/H090_669_V1_0_/2009	JN256690	2009-07-04	China
A/Hong_Kong/H090_671_V10/2009	CY115480	2009-07-06	Hong Kong
A/Hong_Kong/H090_672_V10/2009	CY115488	2009-07-06	Hong Kong
A/Hong_Kong/H090_672_V1_0_/2009	JN256692	2009-07-06	China
A/Hong_Kong/H090_674_V10/2009	CY115496	2009-07-07	Hong Kong
A/Hong_Kong/H090_674_V1_0_/2009	JN256693	2009-07-07	China
A/Hong_Kong/H090_692_V10/2009	CY115536	2009-07-10	Hong Kong
A/Hong_Kong/H090_692_V1_2_/2009	JN256699	2009-07-10	China
A/Hong_Kong/H090_695_V1_0_/2009	JN256700	2009-07-10	China
A/Hong_Kong/H090_703_V10/2009	CY106672	2009-07-17	Hong Kong
A/Hong_Kong/H090_703_V1_0_/2009	JN256701	2009-07-17	China
A/Hong_Kong/H090_707_V10/2009	CY115560	2009-07-14	Hong Kong
A/Hong_Kong/H090_707_V1_0_/2009	JN256702	2009-07-14	China
A/Hong_Kong/H090_709_V1_0_/2009	JN256703	2009-07-14	China
A/Hong_Kong/H090_710_V10/2009	CY115568	2009-07-14	Hong Kong
A/Hong_Kong/H090_710_V1_0_/2009	JN256704	2009-07-14	China
A/Hong_Kong/H090_714_V10/2009	CY106696	2009-07-15	Hong Kong
A/Hong_Kong/H090_714_V1_0_/2009	JN256705	2009-07-15	China
A/Hong_Kong/H090_720_V31/2009	CY115608	2009-07-24	Hong Kong
A/Hong_Kong/H090_720_V3_1_/2009	JN256709	2009-07-24	China
A/Hong_Kong/H090_724_V10/2009	CY115616	2009-07-20	Hong Kong
A/Hong_Kong/H090_724_V20/2009	CY115624	2009-07-22	Hong Kong
A/Hong_Kong/H090_724_V2_0_/2009	JN256711	2009-07-22	China
A/Hong_Kong/H090_725_V10/2009	CY115632	2009-07-20	Hong Kong
A/Hong_Kong/H090_725_V1_0_/2009	JN256712	2009-07-20	China
A/Hong_Kong/H090_726_V10/2009	CY115640	2009-07-20	Hong Kong
A/Hong_Kong/H090_729_V10/2009	CY115648	2009-07-21	Hong Kong
A/Hong_Kong/H090_729_V1_0_/2009	JN256715	2009-07-21	China
A/Hong_Kong/H090_733_V10/2009	CY106784	2009-07-22	Hong Kong
A/Hong_Kong/H090_733_V1_0_/2009	JN256716	2009-07-22	China
A/Hong_Kong/H090_734_V20/2009	CY106800	2009-07-24	Hong Kong
A/Hong_Kong/H090_734_V2_0_/2009	JN256718	2009-07-24	China
A/Hong_Kong/H090_734_V32/2009	CY115680	2009-07-27	Hong Kong
A/Hong_Kong/H090_734_V3_2_/2009	JN256719	2009-07-27	China
A/Hong_Kong/H090_736_V10/2009	CY115688	2009-07-23	Hong Kong
A/Hong_Kong/H090_736_V1_0_/2009	JN256720	2009-07-23	China
A/Hong_Kong/H090_737_V10/2009	CY106824	2009-07-23	Hong Kong
A/Hong_Kong/H090_737_V1_0_/2009	JN256721	2009-07-23	China
A/Hong_Kong/H090_739_V23/2009	CY115720	2009-07-27	Hong Kong
A/Hong_Kong/H090_739_V2_3_/2009	JN256724	2009-07-27	China
A/Hong_Kong/H090_739_V33/2009	CY115728	2009-07-29	Hong Kong
A/Hong_Kong/H090_739_V3_3_/2009	JN256725	2009-07-29	China
A/Hong_Kong/H090_741_V10/2009	CY115736	2009-07-24	Hong Kong
A/Hong_Kong/H090_741_V1_0_/2009	JN256726	2009-07-24	China
A/Hong_Kong/H090_750_V10/2009	CY115760	2009-07-29	Hong Kong
A/Hong_Kong/H090_752_V10/2009	CY115768	2009-07-29	Hong Kong
A/Hong_Kong/H090_752_V1_0_/2009	JN256731	2009-07-29	China
A/Hong_Kong/H090_755_V31/2009	CY115776	2009-08-05	Hong Kong
A/Hong_Kong/H090_755_V3_1_/2009	JN256733	2009-08-01	China
A/Hong_Kong/H090_756_V10/2009	CY115784	2009-07-30	Hong Kong
A/Hong_Kong/H090_756_V1_0_/2009	JN256734	2009-07-30	China
A/Hong_Kong/H090_763_V23/2009	CY115800	2009-08-03	Hong Kong
A/Hong_Kong/H090_763_V2_3_/2009	JN256736	2009-08-03	China
A/Hong_Kong/H090_764_V10/2009	CY106952	2009-07-31	Hong Kong
A/Hong_Kong/H090_764_V1_0_/2009	JN256737	2009-07-31	China
A/Hong_Kong/H090_768_V10/2009	CY106960	2009-08-02	Hong Kong
A/Hong_Kong/H090_768_V1_0_/2009	JN256738	2009-08-02	China
A/Hong_Kong/H090_769_V10/2009	CY115816	2009-08-03	Hong Kong
A/Hong_Kong/H090_769_V1_0_/2009	JN256739	2009-08-03	China
A/Hong_Kong/H090_770_V10/2009	CY115824	2009-08-03	Hong Kong
A/Hong_Kong/H090_770_V1_0_/2009	JN256740	2009-08-03	China
A/Hong_Kong/H090_781_V10/2009	CY106984	2009-08-06	Hong Kong
A/Hong_Kong/H090_781_V1_0_/2009	JN256741	2009-08-06	China
A/Hong_Kong/H090_783_V10/2009	CY106992	2009-08-07	Hong Kong
A/Hong_Kong/H090_783_V1_0_/2009	JN256742	2009-08-07	China
A/Hong_Kong/HKU1/2004	CY039487	2004-02-10	Hong Kong
A/Hong_Kong/HKU10/2004	CY038975	2004-03-22	Hong Kong
A/Hong_Kong/HKU100/2005	CY100140	2005-05-10	Hong Kong
A/Hong_Kong/HKU101/2005	CY100148	2005-05-12	Hong Kong
A/Hong_Kong/HKU102/2005	CY100156	2005-05-16	Hong Kong
A/Hong_Kong/HKU105/2005	CY100172	2005-05-24	Hong Kong
A/Hong_Kong/HKU107/2005	CY100180	2005-05-28	Hong Kong
A/Hong_Kong/HKU108/2005	CY100188	2005-06-03	Hong Kong
A/Hong_Kong/HKU11/2004	CY038583	2004-03-25	Hong Kong
A/Hong_Kong/HKU110/2005	CY100204	2005-06-15	Hong Kong
A/Hong_Kong/HKU111/2005	CY100212	2005-06-25	Hong Kong
A/Hong_Kong/HKU114/2004	CY100220	2004-02-04	Hong Kong
A/Hong_Kong/HKU115/2004	CY100228	2004-02-21	Hong Kong
A/Hong_Kong/HKU116/2004	CY100236	2004-03-08	Hong Kong
A/Hong_Kong/HKU117/2004	CY100244	2004-03-31	Hong Kong
A/Hong_Kong/HKU118/2004	CY100252	2004-04-12	Hong Kong
A/Hong_Kong/HKU119/2004	CY100260	2004-04-27	Hong Kong
A/Hong_Kong/HKU12/2004	CY038591	2004-03-29	Hong Kong
A/Hong_Kong/HKU120/2004	CY100268	2004-05-10	Hong Kong
A/Hong_Kong/HKU121/2004	CY100276	2004-05-18	Hong Kong
A/Hong_Kong/HKU122/2004	CY100284	2004-06-07	Hong Kong
A/Hong_Kong/HKU123/2004	CY100292	2004-06-25	Hong Kong
A/Hong_Kong/HKU14/2004	CY038983	2004-04-16	Hong Kong
A/Hong_Kong/HKU15/2004	CY038991	2004-04-23	Hong Kong
A/Hong_Kong/HKU16/2004	CY038599	2004-04-29	Hong Kong
A/Hong_Kong/HKU18/2004	CY040298	2004-05-28	Hong Kong
A/Hong_Kong/HKU19/2004	CY038607	2004-06-01	Hong Kong
A/Hong_Kong/HKU2/2004	CY038567	2004-02-13	Hong Kong
A/Hong_Kong/HKU20/2004	CY038615	2004-06-15	Hong Kong
A/Hong_Kong/HKU21/2004	CY039007	2004-06-19	Hong Kong
A/Hong_Kong/HKU22/2004	CY038623	2004-06-29	Hong Kong
A/Hong_Kong/HKU23/2004	CY039015	2004-07-02	Hong Kong
A/Hong_Kong/HKU24/2004	CY039167	2004-07-05	Hong Kong
A/Hong_Kong/HKU25/2004	CY039023	2004-07-07	Hong Kong
A/Hong_Kong/HKU28/2004	CY043744	2004-07-17	Hong Kong
A/Hong_Kong/HKU29/2004	CY038631	2004-07-21	Hong Kong
A/Hong_Kong/HKU3/2004	CY038935	2004-02-19	Hong Kong
A/Hong_Kong/HKU30/2004	CY039031	2004-07-22	Hong Kong
A/Hong_Kong/HKU31/2004	CY038639	2004-07-30	Hong Kong
A/Hong_Kong/HKU32/2004	CY039495	2004-08-02	Hong Kong
A/Hong_Kong/HKU33/2004	CY039039	2004-08-09	Hong Kong
A/Hong_Kong/HKU34/2004	CY038647	2004-08-18	Hong Kong
A/Hong_Kong/HKU35/2004	CY040306	2004-08-24	Hong Kong
A/Hong_Kong/HKU36/2004	CY038655	2004-09-02	Hong Kong
A/Hong_Kong/HKU37/2004	CY038663	2004-09-17	Hong Kong
A/Hong_Kong/HKU38/2004	CY040314	2004-09-23	Hong Kong
A/Hong_Kong/HKU39/2004	CY038671	2004-10-18	Hong Kong
A/Hong_Kong/HKU4/2004	CY038943	2004-03-01	Hong Kong
A/Hong_Kong/HKU40/2004	CY039047	2004-11-23	Hong Kong
A/Hong_Kong/HKU42/2005	CY038679	2005-01-06	Hong Kong
A/Hong_Kong/HKU44/2005	CY039175	2005-02-28	Hong Kong
A/Hong_Kong/HKU45/2005	CY039055	2005-03-07	Hong Kong
A/Hong_Kong/HKU47/2005	CY039063	2005-03-19	Hong Kong
A/Hong_Kong/HKU48/2005	CY039183	2005-04-01	Hong Kong
A/Hong_Kong/HKU49/2005	CY043752	2005-04-04	Hong Kong
A/Hong_Kong/HKU5/2004	CY039159	2004-03-04	Hong Kong
A/Hong_Kong/HKU50/2005	CY039503	2005-04-11	Hong Kong
A/Hong_Kong/HKU51/2005	CY038687	2005-04-13	Hong Kong
A/Hong_Kong/HKU52/2005	CY040322	2005-04-16	Hong Kong
A/Hong_Kong/HKU53/2005	CY040330	2005-04-21	Hong Kong
A/Hong_Kong/HKU55/2005	CY039191	2005-04-30	Hong Kong
A/Hong_Kong/HKU56/2005	CY039511	2005-05-01	Hong Kong
A/Hong_Kong/HKU57/2005	CY039199	2005-05-03	Hong Kong
A/Hong_Kong/HKU58/2005	CY039207	2005-05-05	Hong Kong
A/Hong_Kong/HKU59/2005	CY039215	2005-05-07	Hong Kong
A/Hong_Kong/HKU6/2004	CY038951	2004-03-06	Hong Kong
A/Hong_Kong/HKU61/2005	CY039223	2005-05-11	Hong Kong
A/Hong_Kong/HKU62/2005	CY038695	2005-05-13	Hong Kong
A/Hong_Kong/HKU63/2005	CY039231	2005-05-14	Hong Kong
A/Hong_Kong/HKU64/2005	CY039239	2005-05-16	Hong Kong
A/Hong_Kong/HKU65/2005	CY038703	2005-05-17	Hong Kong
A/Hong_Kong/HKU66/2005	CY039247	2005-05-21	Hong Kong
A/Hong_Kong/HKU67/2005	CY038711	2005-05-23	Hong Kong
A/Hong_Kong/HKU68/2005	CY038719	2005-05-26	Hong Kong
A/Hong_Kong/HKU69/2005	CY038727	2005-05-27	Hong Kong
A/Hong_Kong/HKU7/2004	CY038959	2004-03-10	Hong Kong
A/Hong_Kong/HKU70/2005	CY038735	2005-05-30	Hong Kong
A/Hong_Kong/HKU71/2005	CY038743	2005-05-31	Hong Kong
A/Hong_Kong/HKU72/2005	CY043760	2005-06-01	Hong Kong
A/Hong_Kong/HKU73/2005	CY044397	2005-06-02	Hong Kong
A/Hong_Kong/HKU74/2005	CY039519	2005-06-11	Hong Kong
A/Hong_Kong/HKU75/2005	CY040338	2005-06-17	Hong Kong
A/Hong_Kong/HKU76/2005	CY040346	2005-06-21	Hong Kong
A/Hong_Kong/HKU77/2005	CY040354	2005-06-29	Hong Kong
A/Hong_Kong/HKU78/2005	CY043768	2005-07-09	Hong Kong
A/Hong_Kong/HKU79/2005	CY038751	2005-07-16	Hong Kong
A/Hong_Kong/HKU8/2004	CY038575	2004-03-13	Hong Kong
A/Hong_Kong/HKU83/2004	CY100300	2004-03-15	Hong Kong
A/Hong_Kong/HKU85/2004	CY100308	2004-07-14	Hong Kong
A/Hong_Kong/HKU86/2004	CY100316	2004-07-15	Hong Kong
A/Hong_Kong/HKU87/2004	CY100324	2004-07-24	Hong Kong
A/Hong_Kong/HKU89/2004	CY100340	2004-08-04	Hong Kong
A/Hong_Kong/HKU9/2004	CY038967	2004-03-19	Hong Kong
A/Hong_Kong/HKU91/2004	CY100356	2004-08-16	Hong Kong
A/Hong_Kong/HKU92/2004	CY100364	2004-08-30	Hong Kong
A/Hong_Kong/HKU93/2005	CY100372	2005-03-14	Hong Kong
A/Hong_Kong/HKU94/2005	CY100380	2005-04-09	Hong Kong
A/Hong_Kong/HKU96/2005	CY100388	2005-05-02	Hong Kong
A/Hong_Kong/HKU98/2005	CY100396	2005-05-04	Hong Kong
A/Hong_Kong/NHRC0001/2005	CY091309	2005-06-15	Hong Kong
A/Hormozgan/807/2012	KC865621	2012-01-04	Iran
A/Hue/H020/2007	CY104348	2007-10-01	Viet Nam
A/Hue/H05/2008	CY105830	2008-01-04	Viet Nam
A/Hue/H207/2008	CY105838	2008-06-09	Viet Nam
A/Hue/H39/2008	CY105846	2008-01-28	Viet Nam
A/Hue/H511/2007	CY105526	2007-11-30	Viet Nam
A/Hue/H519/2007	CY105542	2007-12-06	Viet Nam
A/Hue/H521/2007	CY105550	2007-12-07	Viet Nam
A/Hutt/82/2000	CY008812	2000-09-21	New Zealand
A/Idaho/01/2010	KC882579	2010-11-23	USA
A/Idaho/01/2011	KC882584	2011-01-02	USA
A/Idaho/02/2007	EU199274	2007-01-22	USA
A/Idaho/02/2011	KC883258	2011-01-05	USA
A/Idaho/02/2012	KC893012	2012-01-16	USA
A/Idaho/03/2008	EU779524	2008-02-01	USA
A/Idaho/03/2011	KC882644	2011-02-08	USA
A/Idaho/04/2009	GQ385929	2009-03-14	USA
A/Idaho/04/2012	KC892376	2012-02-02	USA
A/Idaho/05/2007	EU199361	2007-01-25	USA
A/Idaho/05/2011	KC883221	2011-03-06	USA
A/Idaho/06/2011	KC883246	2011-03-15	USA
A/Idaho/06/2012	KC892462	2012-02-13	USA
A/Idaho/09/2007	EU199371	2007-04-23	USA
A/Idaho/10/2007	EU199368	2007-05-14	USA
A/Idaho/10/2012	KC892968	2012-03-25	USA
A/Idaho/11/2012	KC892227	2012-04-11	USA
A/Idaho/17/2008	FJ686917	2008-10-07	USA
A/Idaho/18/2008	FJ686939	2008-10-16	USA
A/Illinois/01/2010	KC882727	2010-12-24	USA
