strain	virus	accession	date	region	country	division	location	passage	age	gender	originating_lab	submitting_lab
A/Yekaterinburg/4/2008	flu	EPI387589	2008-04-15	west_asia	russia	sverdlovsk	yekaterinburg	undetermined	?	?	?	Other Database Import
A/Cheongju/H473/2008	flu	EPI219940	2008-04-15	japan_korea	south_korea	chungcheongnam	cheongju	undetermined	?	?	?	Other Database Import
A/Taiwan/408/2008	flu	EPI160585	2008-04-16	china	taiwan	taiwan	taiwan	cell	?	?	Center For Disease Control	Who Collaborating Centre For Reference And Research On Influenza
A/Boston/88/2008	flu	EPI219854	2008-04-16	north_america	usa	massachusetts	massachusetts	undetermined	?	?	?	Other Database Import
A/Aichi/97/2008	flu	EPI173624	2008-04-17	japan_korea	japan	aichi	aichi	undetermined	?	?	?	Other Database Import
A/Aichi/98/2008	flu	EPI173649	2008-04-18	japan_korea	japan	aichi	aichi	undetermined	?	?	?	Other Database Import
A/Taiwan/367/2008	flu	EPI160596	2008-04-18	china	taiwan	taiwan	taiwan	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Gyeonggi/229/2008	flu	EPI393812	2008-04-20	japan_korea	south_korea	gyeonggi	gyeonggi	cell	?	?	?	Other Database Import
A/NewYork/9/2008	flu	EPI163166	2008-04-21	north_america	usa	new_york	new_york	cell	?	?		Centers for Disease Control and Prevention
A/NewYork/1157/2008	flu	EPI525586	2008-04-21	north_america	usa	new_york	new_york	unpassaged	29y	male	?	Other Database Import
A/NewYork/9/2008	flu	EPI159857	2008-04-21	north_america	usa	new_york	new_york	cell	?	?	?	Centers For Disease Control And Prevention
A/UlanUde/2/2008	flu	EPI162237	2008-04-21	west_asia	russia	buryatia	ulan_ude	cell	?	?	?	Centers For Disease Control And Prevention
A/Khabarovsk/10/2008	flu	EPI162212	2008-04-21	west_asia	russia	khabarovsk	khabarovsk	cell	?	?	?	Centers For Disease Control And Prevention
A/Khabarovsk/41/2008	flu	EPI162214	2008-04-21	west_asia	russia	khabarovsk	khabarovsk	cell	?	?	?	Centers For Disease Control And Prevention
A/Singapore/N390/2008	flu	EPI187385	2008-04-23	southeast_asia	singapore	singapore	singapore	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Hiroshima-C/38/2008	flu	EPI160609	2008-04-24	japan_korea	japan	hiroshima	hiroshima	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/England/818672/2008	flu	EPI358864	2008-04-24	europe	united_kingdom	england	england	undetermined	?	?	?	Other Database Import
A/Zhuhai/343/2008	flu	EPI220223	2008-04-25	china	china	guangdong	zhuhai	cell	?	?	?	Other Database Import
A/Singapore/20/2008	flu	EPI163710	2008-04-29	southeast_asia	singapore	singapore	singapore	cell	?	?	Singapore General Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Johannesburg/5/2008	flu	EPI160583	2008-04-29	africa	south_africa	gauteng	johannesburg	cell	?	?	National Institute For Communicable Disease	Who Collaborating Centre For Reference And Research On Influenza
A/Sydney/2/2008	flu	EPI162515	2008-04-29	oceania	australia	new_south_wales	sydney	cell	?	?	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/India/C087882/2008	flu	EPI375326	2008-04-29	south_asia	india	india	india	undetermined	19y	female	?	Other Database Import
A/India/7882/2008	flu	EPI168585	2008-04-29	south_asia	india	india	india	cell	?	?	?	Centers For Disease Control And Prevention
A/Japan/AF1846/2008	flu	EPI163778	2008-04-30	japan_korea	japan	japan	japan	undetermined	?	?	?	Other Database Import
A/England/350/2008	flu	EPI358865	2008-05-01	europe	united_kingdom	england	england	undetermined	?	?	?	Other Database Import
A/Hiroshima-C/41/2008	flu	EPI160610	2008-05-02	japan_korea	japan	hiroshima	hiroshima	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Singapore/21/2008	flu	EPI608999	2008-05-02	southeast_asia	singapore	singapore	singapore	undetermined	?	?	Singapore General Hospital	Other Database Import
A/Singapore/N422/2008	flu	EPI187386	2008-05-02	southeast_asia	singapore	singapore	singapore	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Singapore/EN047/2008	flu	EPI187381	2008-05-05	southeast_asia	singapore	singapore	singapore	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Singapore/239/2008	flu	EPI172332	2008-05-05	southeast_asia	singapore	singapore	singapore	cell	?	?	National University Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/SriLanka/14/2008	flu	EPI172182	2008-05-06	south_asia	sri_lanka	sri_lanka	sri_lanka	cell	?	?	Medical Research Institute	Who Collaborating Centre For Reference And Research On Influenza
A/Washington/AF1824/2008	flu	EPI163756	2008-05-07	north_america	usa	washington	washington	undetermined	?	?	?	Other Database Import
A/GansuLanzhouChengguan/1448/2008	flu	EPI608317	2008-05-07	china	china	gansu	gansu	undetermined	?	?	?	Other Database Import
A/Guangdong/93/2008	flu	EPI326345	2008-05-07	china	china	guangdong	guangdong	cell	?	?	?	Other Database Import
A/Singapore/N430/2008	flu	EPI187387	2008-05-07	southeast_asia	singapore	singapore	singapore	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Singapore/N425/2008	flu	EPI215041	2008-05-07	southeast_asia	singapore	singapore	singapore	cell	?	?	Tan Tock Seng Hospital	National Institute For Medical Research
A/Singapore/N468/2008	flu	EPI187388	2008-05-08	southeast_asia	singapore	singapore	singapore	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Sydney/3/2008	flu	EPI162954	2008-05-09	oceania	australia	new_south_wales	sydney	cell	?	?	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/NewMexico/2/2008	flu	EPI163145	2008-05-10	north_america	usa	new_mexico	new_mexico	cell	?	?	?	Centers For Disease Control And Prevention
A/Seoul/4295/2008	flu	EPI168580	2008-05-10	japan_korea	south_korea	seoul	seoul	cell	?	?	?	Centers For Disease Control And Prevention
A/Japan/WRAIR1059P/2008	flu	EPI275486	2008-05-11	japan_korea	japan	japan	japan	cell	?	?	?	Other Database Import
A/Aichi/101/2008	flu	EPI173650	2008-05-12	japan_korea	japan	aichi	aichi	undetermined	?	?	?	Other Database Import
A/StPetersburg/96/2008	flu	EPI168574	2008-05-12	west_asia	russia	st_petersburg	st_petersburg	cell	?	?	?	Centers For Disease Control And Prevention
A/Singapore/25/2008	flu	EPI160581	2008-05-12	southeast_asia	singapore	singapore	singapore	cell	?	?	Singapore General Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Incheon/4274/2008	flu	EPI168582	2008-05-13	japan_korea	south_korea	seoul	incheon	cell	?	?	?	Centers For Disease Control And Prevention
A/Malaysia/925/2008	flu	EPI162941	2008-05-13	southeast_asia	malaysia	malaysia	malaysia	cell	?	?	Institut Penyelidikan Perubatan	Who Collaborating Centre For Reference And Research On Influenza
A/Korea/AF1826/2008	flu	EPI163758	2008-05-13	japan_korea	south_korea	south_korea	south_korea	undetermined	?	?	?	Other Database Import
A/NewYork/28/2008	flu	EPI163231	2008-05-13	north_america	usa	new_york	new_york	cell	?	?	?	Centers For Disease Control And Prevention
A/India/7886/2008	flu	EPI168595	2008-05-15	south_asia	india	india	india	cell	?	?	?	Centers For Disease Control And Prevention
A/Singapore/22/2008	flu	EPI163237	2008-05-15	southeast_asia	singapore	singapore	singapore	cell	?	?	?	Centers For Disease Control And Prevention
A/Singapore/23/2008	flu	EPI168569	2008-05-16	southeast_asia	singapore	singapore	singapore	cell	?	?	?	Centers For Disease Control And Prevention
A/Guatemala/494/2008	flu	EPI163130	2008-05-19	north_america	guatemala	guatemala	guatemala	cell	?	?	?	Centers For Disease Control And Prevention
A/Aichi/102/2008	flu	EPI168537	2008-05-20	japan_korea	japan	aichi	aichi	undetermined	?	?	?	Other Database Import
A/Aichi/106/2008	flu	EPI173652	2008-05-20	japan_korea	japan	aichi	aichi	undetermined	?	?	?	Other Database Import
A/Aichi/103/2008	flu	EPI173651	2008-05-20	japan_korea	japan	aichi	aichi	undetermined	?	?	?	Other Database Import
A/Thailand/519/2008	flu	EPI160587	2008-05-21	southeast_asia	thailand	thailand	thailand	cell	?	?	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza
A/Singapore/N486/2008	flu	EPI187390	2008-05-21	southeast_asia	singapore	singapore	singapore	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Singapore/N474/2008	flu	EPI187389	2008-05-21	southeast_asia	singapore	singapore	singapore	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Zhuhai/494/2008	flu	EPI220224	2008-05-21	china	china	guangdong	zhuhai	cell	?	?	?	Other Database Import
A/Kolkata/89048/2008	flu	EPI607245	2008-05-21	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/India/K089048/2008	flu	EPI374798	2008-05-21	south_asia	india	india	india	undetermined	26y	male	?	Other Database Import
A/Sydney/6/2008	flu	EPI162516	2008-05-22	oceania	australia	new_south_wales	sydney	cell	?	?	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Busan/4297/2008	flu	EPI168583	2008-05-22	japan_korea	south_korea	busan	busan	cell	?	?	?	Centers For Disease Control And Prevention
A/Okayama/4/2008	flu	EPI160607	2008-05-22	japan_korea	japan	okayama	okayama	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Thailand/508/2008	flu	EPI160589	2008-05-22	southeast_asia	thailand	thailand	thailand	cell	?	?	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza
A/Waikato/6/2008	flu	EPI156848	2008-05-22	oceania	new_zealand	waikato	waikato	cell	?	?	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza
A/Brisbane/19/2008	flu	EPI161697	2008-05-22	oceania	australia	queensland	brisbane	cell	?	?	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza
A/Aichi/114/2008	flu	EPI173654	2008-05-24	japan_korea	japan	aichi	aichi	undetermined	?	?	?	Other Database Import
A/Sydney/2001/2008	flu	EPI161700	2008-05-24	oceania	australia	new_south_wales	sydney	cell	?	?	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza
A/Moscow/118/2008	flu	EPI168573	2008-05-26	west_asia	russia	moscow	moscow	cell	?	?	?	Centers For Disease Control And Prevention
A/Kobe/40/2008	flu	EPI160594	2008-05-27	japan_korea	japan	hyogo	kobe	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/SriLanka/21/2008	flu	EPI172353	2008-05-27	south_asia	sri_lanka	sri_lanka	sri_lanka	cell	?	?	Medical Research Institute	Who Collaborating Centre For Reference And Research On Influenza
A/Perth/12/2008	flu	EPI159893	2008-05-28	oceania	australia	western_australia	perth	cell	?	?	Pathwest Qe Ii Medical Centre	Who Collaborating Centre For Reference And Research On Influenza
A/Guatemala/545/2008	flu	EPI163132	2008-05-28	north_america	guatemala	guatemala	guatemala	cell	?	?	?	Centers For Disease Control And Prevention
A/Auckland/10/2008	flu	EPI163724	2008-05-29	oceania	new_zealand	auckland	auckland	cell	?	?	Auckland Healthcare	Who Collaborating Centre For Reference And Research On Influenza
A/Guatemala/AF1847/2008	flu	EPI163779	2008-06-01	north_america	guatemala	guatemala	guatemala	undetermined	?	?	?	Other Database Import
A/Guatemala/AF1845/2008	flu	EPI163777	2008-06-01	north_america	guatemala	guatemala	guatemala	undetermined	?	?	?	Other Database Import
A/Shimane/91/2008	flu	EPI160600	2008-06-02	japan_korea	japan	shimane	shimane	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Thailand/534/2008	flu	EPI160590	2008-06-02	southeast_asia	thailand	thailand	thailand	cell	?	?	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza
A/Wellington/6/2008	flu	EPI162943	2008-06-03	oceania	new_zealand	wellington	wellington	cell	?	?	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza
A/SriLanka/22/2008	flu	EPI172330	2008-06-03	south_asia	sri_lanka	sri_lanka	sri_lanka	cell	?	?	Medical Research Institute	Who Collaborating Centre For Reference And Research On Influenza
A/India/K089049/2008	flu	EPI375337	2008-06-04	south_asia	india	india	india	undetermined	16y	male	?	Other Database Import
A/Singapore/N510/2008	flu	EPI187391	2008-06-04	southeast_asia	singapore	singapore	singapore	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Kisii/6569/2008	flu	EPI173159	2008-06-04	africa	kenya	kisii	kisii	undetermined	?	?	?	Other Database Import
A/Taiwan/420/2008	flu	EPI163239	2008-06-05	china	taiwan	taiwan	taiwan	cell	?	?	?	Centers For Disease Control And Prevention
A/Taiwan/416/2008	flu	EPI160595	2008-06-06	china	taiwan	taiwan	taiwan	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Taiwan/415/2008	flu	EPI168571	2008-06-06	china	taiwan	taiwan	taiwan	cell	?	?	?	Centers For Disease Control And Prevention
A/Taiwan/414/2008	flu	EPI160582	2008-06-06	china	taiwan	taiwan	taiwan	cell	?	?	Center For Disease Control	Who Collaborating Centre For Reference And Research On Influenza
A/Hue/H207/2008	flu	EPI369727	2008-06-09	southeast_asia	vietnam	thua_thien_hue	hue	cell	31y	female	?	Other Database Import
A/Auckland/17/2008	flu	EPI163711	2008-06-09	oceania	new_zealand	auckland	auckland	cell	?	?	Auckland Healthcare	Who Collaborating Centre For Reference And Research On Influenza
A/Aomori/11/2008	flu	EPI162523	2008-06-10	japan_korea	japan	aomori	aomori	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Vietnam/214/2008	flu	EPI172440	2008-06-10	southeast_asia	vietnam	vietnam	vietnam	cell	?	?	?	Centers For Disease Control And Prevention
A/India/K089051/2008	flu	EPI374799	2008-06-11	south_asia	india	india	india	undetermined	26y	female	?	Other Database Import
A/Kolkata/89051/2008	flu	EPI608322	2008-06-11	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/Aichi/107/2008	flu	EPI173653	2008-06-11	japan_korea	japan	aichi	aichi	undetermined	?	?	?	Other Database Import
A/Waikato/16/2008	flu	EPI168599	2008-06-11	oceania	new_zealand	waikato	waikato	cell	?	?	?	Centers For Disease Control And Prevention
A/Isiolo/6883/2008	flu	EPI173149	2008-06-12	africa	kenya	eastern	isiolo	undetermined	?	?	?	Other Database Import
A/Thailand/KS07193/2008	flu	EPI703116	2008-06-12	southeast_asia	thailand	thailand	thailand	cell	?	?	?	Other Database Import
A/Singapore/EN074/2008	flu	EPI187382	2008-06-12	southeast_asia	singapore	singapore	singapore	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Texas/AF1820/2008	flu	EPI163752	2008-06-13	north_america	usa	texas	texas	undetermined	?	?	?	Other Database Import
A/Zhuhai/589/2008	flu	EPI220225	2008-06-14	china	china	guangdong	zhuhai	cell	?	?	?	Other Database Import
A/Texas/AF1848/2008	flu	EPI163780	2008-06-17	north_america	usa	texas	texas	undetermined	?	?	?	Other Database Import
A/Tasmania/4/2008	flu	EPI172181	2008-06-18	oceania	australia	tasmania	tasmania	cell	?	?	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza
A/Waikato/17/2008	flu	EPI168601	2008-06-18	oceania	new_zealand	waikato	waikato	cell	?	?	?	Centers For Disease Control And Prevention
A/CostaRica/7172/2008	flu	EPI172432	2008-06-19	north_america	costa_rica	costa_rica	costa_rica	cell	?	?	Laboratorio Nacional De Influenza	Centers For Disease Control And Prevention
A/Kolkata/89056/2008	flu	EPI609691	2008-06-19	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/Tasmania/1/2008	flu	EPI161699	2008-06-19	oceania	australia	tasmania	tasmania	cell	?	?	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza
A/India/K089056/2008	flu	EPI374803	2008-06-19	south_asia	india	india	india	undetermined	14y	female	?	Other Database Import
A/Thailand/561/2008	flu	EPI161694	2008-06-19	southeast_asia	thailand	thailand	thailand	cell	?	?	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza
A/Taiwan/421/2008	flu	EPI160599	2008-06-19	china	taiwan	taiwan	taiwan	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Thailand/562/2008	flu	EPI160591	2008-06-21	southeast_asia	thailand	thailand	thailand	cell	?	?	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza
A/Thailand/563/2008	flu	EPI160588	2008-06-21	southeast_asia	thailand	thailand	thailand	cell	?	?	Who National Influenza Centre, National Institute Of Medical Research (nimr)	Who Collaborating Centre For Reference And Research On Influenza
A/India/K089059/2008	flu	EPI375301	2008-06-23	south_asia	india	india	india	undetermined	1y	male	?	Other Database Import
A/Thailand/SP07127/2008	flu	EPI703316	2008-06-23	southeast_asia	thailand	thailand	thailand	cell	?	?	?	Other Database Import
A/Kericho/6528/2008	flu	EPI173154	2008-06-23	africa	kenya	kericho	kericho	undetermined	?	?	?	Other Database Import
A/Brisbane/24/2008	flu	EPI161695	2008-06-23	oceania	australia	queensland	brisbane	cell	?	?	Queensland Health Scientific Services	Who Collaborating Centre For Reference And Research On Influenza
A/Kolkata/89059/2008	flu	EPI606533	2008-06-23	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/Mombasa/6549/2008	flu	EPI173160	2008-06-24	africa	kenya	mombasa	mombasa	undetermined	?	?	?	Other Database Import
A/Wellington/13/2008	flu	EPI168603	2008-06-24	oceania	new_zealand	wellington	wellington	cell	?	?	?	Centers For Disease Control And Prevention
A/Wellington/18/2008	flu	EPI162944	2008-06-25	oceania	new_zealand	wellington	wellington	cell	?	?	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza
A/Okayama/6/2008	flu	EPI169092	2008-06-25	japan_korea	japan	okayama	okayama	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Christchurch/1/2008	flu	EPI163709	2008-06-25	oceania	new_zealand	canterbury	christchurch	cell	?	?	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza
A/Singapore/29/2008	flu	EPI175274	2008-06-25	southeast_asia	singapore	singapore	singapore	cell	?	?	?	Centers For Disease Control And Prevention
A/Johannesburg/15/2008	flu	EPI211546	2008-06-26	africa	south_africa	gauteng	johannesburg	cell	3y	?	National Institute For Communicable Disease	National Institute For Medical Research
A/Okayama/10/2008	flu	EPI169091	2008-06-26	japan_korea	japan	okayama	okayama	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Wellington/20/2008	flu	EPI162945	2008-06-26	oceania	new_zealand	wellington	wellington	cell	?	?	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza
A/Isiolo/6513/2008	flu	EPI173156	2008-06-27	africa	kenya	eastern	isiolo	undetermined	?	?	?	Other Database Import
A/Kenya/1436/2008	flu	EPI168623	2008-06-27	africa	kenya	kenya	kenya	cell	?	?	?	Centers For Disease Control And Prevention
A/Isiolo/6515/2008	flu	EPI173157	2008-06-27	africa	kenya	eastern	isiolo	undetermined	?	?	?	Other Database Import
A/Mombasa/6551/2008	flu	EPI173161	2008-06-28	africa	kenya	mombasa	mombasa	undetermined	?	?	?	Other Database Import
A/India/K089060/2008	flu	EPI374804	2008-06-30	south_asia	india	india	india	undetermined	16y	male	?	Other Database Import
A/Singapore/EN089/2008	flu	EPI187383	2008-06-30	southeast_asia	singapore	singapore	singapore	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Singapore/241/2008	flu	EPI163713	2008-06-30	southeast_asia	singapore	singapore	singapore	cell	?	?	National University Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Kolkata/89060/2008	flu	EPI608144	2008-06-30	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/Kolkata/89063/2008	flu	EPI606352	2008-07-01	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/Kolkata/89062/2008	flu	EPI609002	2008-07-01	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/India/K089063/2008	flu	EPI374805	2008-07-01	south_asia	india	india	india	undetermined	2y	male	?	Other Database Import
A/India/K089062/2008	flu	EPI375302	2008-07-01	south_asia	india	india	india	undetermined	17y	female	?	Other Database Import
A/Isiolo/6517/2008	flu	EPI173158	2008-07-01	africa	kenya	eastern	isiolo	undetermined	?	?	?	Other Database Import
A/Kolkata/810434/2008	flu	EPI606338	2008-07-02	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/Bangladesh/9890/2008	flu	EPI185701	2008-07-02	south_asia	bangladesh	bangladesh	bangladesh	cell	?	?	?	Centers For Disease Control And Prevention
A/Kolkata/810436/2008	flu	EPI607074	2008-07-02	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/Kolkata/810433/2008	flu	EPI606135	2008-07-02	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/India/K0810434/2008	flu	EPI375299	2008-07-02	south_asia	india	india	india	undetermined	15y	female	?	Other Database Import
A/Waikato/32/2008	flu	EPI172358	2008-07-02	oceania	new_zealand	waikato	waikato	cell	?	?	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza
A/India/K0810436/2008	flu	EPI374802	2008-07-02	south_asia	india	india	india	undetermined	2y	male	?	Other Database Import
A/India/K0810433/2008	flu	EPI374801	2008-07-02	south_asia	india	india	india	undetermined	18y	male	?	Other Database Import
A/Wellington/40/2008	flu	EPI168605	2008-07-03	oceania	new_zealand	wellington	wellington	cell	?	?	?	Centers For Disease Control And Prevention
A/Kolkata/89064/2008	flu	EPI607130	2008-07-03	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/India/K089064/2008	flu	EPI375303	2008-07-03	south_asia	india	india	india	undetermined	2y	female	?	Other Database Import
A/Manhean/3/2008	flu	EPI304371	2008-07-03	africa	ghana	accra	manhean	undetermined	?	?	?	Other Database Import
A/Macau/1343/2008	flu	EPI172209	2008-07-04	china	china	macau	macau	cell	?	?	Laboratorio De Saude Publico	Who Collaborating Centre For Reference And Research On Influenza
A/Victoria/500/2008	flu	EPI609577	2008-07-05	oceania	australia	victoria	victoria	undetermined	?	?	Monash Medical Centre	Other Database Import
A/Kenya/1477/2008	flu	EPI168619	2008-07-07	africa	kenya	kenya	kenya	cell	?	?	?	Centers For Disease Control And Prevention
A/Auckland/69/2008	flu	EPI172183	2008-07-07	oceania	new_zealand	auckland	auckland	cell	?	?	Auckland Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Zhuhai/676/2008	flu	EPI220228	2008-07-07	china	china	guangdong	zhuhai	cell	?	?	?	Other Database Import
A/Wellington/36/2008	flu	EPI162946	2008-07-07	oceania	new_zealand	wellington	wellington	cell	?	?	Institute Of Environmental Science And Research	Who Collaborating Centre For Reference And Research On Influenza
A/Chiba/84/2008	flu	EPI169086	2008-07-08	japan_korea	japan	chiba	chiba	cell	?	?	?	National Institute Of Infectious Diseases (niid)
A/Myanmar/M022/2008	flu	EPI220086	2008-07-09	southeast_asia	myanmar	myanmar	myanmar	undetermined	?	?	?	Other Database Import
A/Alupe/6511/2008	flu	EPI173155	2008-07-09	africa	kenya	nairobi	alupe	undetermined	?	?	?	Other Database Import
A/Wellington/31/2008	flu	EPI168607	2008-07-09	oceania	new_zealand	wellington	wellington	cell	?	?	?	Centers For Disease Control And Prevention
A/Kolkata/810437/2008	flu	EPI606099	2008-07-09	south_asia	india	west_bengal	kolkata	undetermined	?	?	?	Other Database Import
A/Auckland/73/2008	flu	EPI172184	2008-07-09	oceania	new_zealand	auckland	auckland	cell	?	?	Auckland Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/India/K0810437/2008	flu	EPI375300	2008-07-09	south_asia	india	india	india	undetermined	1y	female	?	Other Database Import
A/Bangladesh/3017/2008	flu	EPI185699	2008-07-09	south_asia	bangladesh	bangladesh	bangladesh	cell	?	?	?	Centers For Disease Control And Prevention
A/Mbagathi/6555/2008	flu	EPI173162	2008-07-11	africa	kenya	nairobi	nairobi	undetermined	?	?	?	Other Database Import
A/Myanmar/M082/2008	flu	EPI220090	2008-07-11	southeast_asia	myanmar	myanmar	myanmar	undetermined	?	?	?	Other Database Import
A/Guatemala/680/2008	flu	EPI168609	2008-07-11	north_america	guatemala	guatemala	guatemala	cell	?	?	?	Centers For Disease Control And Prevention
A/Myanmar/M084/2008	flu	EPI220092	2008-07-12	southeast_asia	myanmar	myanmar	myanmar	undetermined	?	?	?	Other Database Import
A/Delhi/811474/2008	flu	EPI609204	2008-07-14	south_asia	india	delhi	delhi	undetermined	?	?	?	Other Database Import
A/India/D0811474/2008	flu	EPI375274	2008-07-14	south_asia	india	india	india	undetermined	32y	female	?	Other Database Import
A/India/D0811475/2008	flu	EPI374825	2008-07-14	south_asia	india	india	india	undetermined	20y	female	?	Other Database Import
A/Guangdong/314/2008	flu	EPI326367	2008-07-14	china	china	guangdong	guangdong	cell	?	?	?	Other Database Import
A/Delhi/811477/2008	flu	EPI606584	2008-07-15	south_asia	india	delhi	delhi	undetermined	?	?	?	Other Database Import
A/Ghana/11/2008	flu	EPI347405	2008-07-15	africa	ghana	ghana	ghana	cell	?	?	University Of Ghana	National Institute For Medical Research
A/India/D0811477/2008	flu	EPI375275	2008-07-15	south_asia	india	india	india	undetermined	31y	female	?	Other Database Import
A/Bangladesh/2009/2008	flu	EPI211320	2008-07-15	south_asia	bangladesh	bangladesh	bangladesh	cell	?	?	?	Centers For Disease Control And Prevention
A/Taiwan/424/2008	flu	EPI444783	2008-07-16	china	taiwan	taiwan	taiwan	cell	?	?	?	Other Database Import
A/Taiwan/425/2008	flu	EPI444784	2008-07-16	china	taiwan	taiwan	taiwan	cell	?	?	?	Other Database Import
A/Taiwan/422/2008	flu	EPI444975	2008-07-16	china	taiwan	taiwan	taiwan	cell	?	?	?	Other Database Import
A/Sydney/8/2008	flu	EPI162514	2008-07-17	oceania	australia	new_south_wales	sydney	cell	?	?	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Mbagathi/6903/2008	flu	EPI173150	2008-07-17	africa	kenya	nairobi	nairobi	undetermined	?	?	?	Other Database Import
A/Sydney/13/2008	flu	EPI162956	2008-07-18	oceania	australia	new_south_wales	sydney	cell	?	?	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Mbagathi/6905/2008	flu	EPI173152	2008-07-18	africa	kenya	nairobi	nairobi	undetermined	?	?	?	Other Database Import
A/Mbagathi/6906/2008	flu	EPI173153	2008-07-18	africa	kenya	nairobi	nairobi	undetermined	?	?	?	Other Database Import
A/Sydney/208/2008	flu	EPI162942	2008-07-19	oceania	australia	new_south_wales	sydney	cell	?	?	Prince Of Wales Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Sydney/18/2008	flu	EPI162957	2008-07-21	oceania	australia	new_south_wales	sydney	cell	?	?	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Sydney/17/2008	flu	EPI162955	2008-07-21	oceania	australia	new_south_wales	sydney	cell	?	?	Westmead Hospital	Who Collaborating Centre For Reference And Research On Influenza
A/Philippines/3967/2008	flu	EPI172331	2008-07-21	southeast_asia	philippines	philippines	philippines	cell	?	?	Research Institute Of Tropical Medicine	Who Collaborating Centre For Reference And Research On Influenza
A/Thailand/SN07141/2008	flu	EPI703262	2008-07-23	southeast_asia	thailand	thailand	thailand	cell	?	?	?	Other Database Import
A/Vietnam/N60/2008	flu	EPI395151	2008-07-23	southeast_asia	vietnam	vietnam	vietnam	undetermined	?	?	?	Other Database Import
A/Kenya/1544/2008	flu	EPI175187	2008-07-24	africa	kenya	kenya	kenya	cell	?	?	?	Centers For Disease Control And Prevention
