strain	branch_length	cTiter	cTiterSub	cTiterSub_x	clade_membership	clock_length	country	country_entropy	dTiter	dTiterSub	date	delta_frequency	dms_star	ep	ep_x	lbi	mutation_length	ne	ne_star	numdate	raw_date	rb	region	region_entropy	is_terminal	timepoint	lineage	segment	frequency	naive	weighted_distance_to_future	weighted_distance_to_present	log2_distance_effect
A/Netherlands/377/2008	0.0021212917214790683	3.9115093375016534	3.5755030261478606	-13.577288966087036	41bb3e2	0.0021212917214790683	netherlands	-1.000088900581841e-12	0	0.0	2008-09-27	1.9388832395535929	0.3956256863226947	4.091776425395773	-6.580140708374442	-0.2167462002752132	0.002338672820991191	10	-0.3416353281005056	2008.7419575633128	2008-09-27	6	europe	-9.99866855976916e-13	True	2008-10-01	h3n2	ha	0.153196	0.0	7.996928000000001	4.380082	0.8684880197772036
A/NewYork/33/2008	0.00252489733935711	3.9115093375016534	3.5755017581664346	-13.628449939970462	41bb3e2	0.00252489733935711	usa	-9.99866855976916e-13	0	0.0	2008-09-20	1.9388832395535929	0.19921992918264925	3.3558454136339435	-7.4199382112239105	0.4887035336959808	0.0017530489306949526	9	-1.29062235060191	2008.7227926078028	2008-09-20	6	north_america	-9.99866855976916e-13	True	2008-10-01	h3n2	ha	0.14591700000000002	0.0	5.935538000000002	3.007423999999999	0.9808505225524964
A/SriLanka/22/2008	0.0019494645447087136	3.9115093375016534	3.5755017581664346	-13.628449939970462	41bb3e2	0.0019494645447087136	sri_lanka	-1.000088900581841e-12	0	0.0	2008-06-04	1.9388832395535929	0.5568542929301948	2.6199144018721143	-8.482089017002085	0.4290916902509415	0.0011681765454044128	9	-1.29062235060191	2008.4243668720053	2008-06-03	6	south_asia	-1.000088900581841e-12	True	2008-10-01	h3n2	ha	7.4e-05	0.0	4.996936999999999	2.2992579999999996	1.1198756689754001
A/Taiwan/414/2008	0.004755306162227635	3.9115093375016534	3.5755017581664346	-13.628449939970462	91769ce	0.004755306162227635	taiwan	-1.000088900581841e-12	0	0.0	2008-06-07	-2.989666786528133	0.2666428010366947	3.3558454136339435	-7.404126850389434	-1.7297303617019069	0.002338971307570383	10	-1.29062235060191	2008.432580424367	2008-06-06	6	china	-1.000088900581841e-12	True	2008-10-01	h3n2	ha	0.00010800000000000001	0.0	8.881207000000003	5.783814999999999	0.6187343520390141
A/Thailand/508/2008	0.0041614759988782895	3.9115093375016534	3.5755017581664346	-11.671347678443887	41bb3e2	0.0041614759988782895	thailand	-1.000088900581841e-12	0	0.0	2008-05-23	1.9388832395535929	0.6447971692615585	3.3558454136339435	-7.408223363632497	-0.9955995459490442	0.003510654729153341	9	0.6073516944008986	2008.3915126625602	2008-05-22	6	southeast_asia	-1.000088900581841e-12	True	2008-10-01	h3n2	ha	1.4999999999999999e-05	0.0	7.9968340000000016	5.299168	0.5936630744347057
A/Thailand/561/2008	0.003158281671101153	3.9115093375016534	3.5755017581664346	-13.628449939970462	91769ce	0.003158281671101153	thailand	-1.000088900581841e-12	0	0.0	2008-06-19	-2.989666786528133	-0.7359059891408511	2.6199144018721143	-8.29826549848617	-1.7546274094226095	0.003511290667408093	10	-0.3416353281005056	2008.4681724846	2008-06-19	6	southeast_asia	-1.000088900581841e-12	True	2008-10-01	h3n2	ha	0.000503	0.0	8.967420000000002	5.7834959999999995	0.6327511348972881
A/Aragon/RR-3438/2008	0.004326527062538639	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.004326527062538639	spain	-1.000088900581841e-12	0	0.0	2008-12-29	-0.3855679312613042	0.3018199515692402	2.6199144018721143	-9.718531488193157	-1.1172112920668886	0.002923412580937242	10	-0.3416353281005056	2008.996577686516	2008-12-29	6	europe	-9.99866855976916e-13	True	2009-04-01	h3n2	ha	0.001314	0.0	8.145227	2.792422	1.5444379230528702
A/BeijingXicheng/1108/2009	0.004785978384892932	4.012775891725173	3.019048789394104	-13.865092563141785	41bb3e2	0.004785978384892932	china	-1.000088900581841e-12	0	0.0	2009-02-10	-0.3855679312613042	0.3340656728907402	4.091776425395773	-6.8446358403454255	-1.8223228029888137	0.004683585891430659	11	0.6073516944008986	2009.1122518822726	2009-02-10	6	china	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.034255	0.0	12.921092999999999	7.153390999999998	0.8530289076702627
A/DaNang/DN453/2008	0.0014855144117129418	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.0014855144117129418	vietnam	-1.000088900581841e-12	0	0.0	2008-11-26	-0.3855679312613042	-1.5625690266556698	2.6199144018721143	-9.718531488193157	-0.6647786353960035	0.0017523857726943544	10	-0.3416353281005056	2008.9062286105407	2008-11-26	6	southeast_asia	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	2.7000000000000002e-05	0.0	8.145227	2.7949230000000003	1.5431463684636173
A/Guam/WRAIR1557P/2009	0.002297289988538189	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.002297289988538189	guam	-1.000088900581841e-12	0	0.0	2009-02-01	-0.3855679312613042	1.36006589675665	2.6199144018721143	-9.718531488193157	-0.7117980887998118	0.002337489617467118	10	-0.3416353281005056	2009.0876112251885	2009-02-01	6	oceania	-9.99866855976916e-13	True	2009-04-01	h3n2	ha	0.020104	0.0	8.145227	2.754846	1.5639832336514958
A/Hawaii/47/2008	0.0020475944125393775	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.0020475944125393775	usa	-1.000088900581841e-12	0	0.0	2008-11-11	-0.3855679312613042	-1.5215290177010332	4.091776425395773	-7.462507217279401	-0.5427979886036489	0.003506510573320553	10	0.6073516944008986	2008.8624229979464	2008-11-10	6	north_america	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	3e-06	0.0	10.963812	5.493291000000001	0.9970068712330082
A/HongKong/1952/2009	0.0021694641726447625	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.0021694641726447625	hong_kong	-1.000088900581841e-12	0	0.0	2009-03-23	-0.3855679312613042	2.822849073068332	5.563638448919432	-4.881929822126174	-0.29686756211368137	0.000584059781264549	9	-1.29062235060191	2009.227241615332	2009-03-24	7	china	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.129512	0.0	6.487745000000001	5.429409999999999	0.2569216831296621
A/HongKong/H090-755-V2/2009	0.0012865072937948765	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.0012865072937948765	hong_kong	-1.000088900581841e-12	0	0.0	2009-01-07	-0.3855679312613042	2.822849073068332	5.563638448919432	-4.881929822126174	-0.3271866184160889	0.001751691529862105	9	-1.29062235060191	2009.021902806297	2009-01-08	7	china	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.003165	0.0	6.487745000000001	5.429409999999999	0.2569216831296621
A/Japan/WRAIR1037P/2009	0.003102150554259754	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.003102150554259754	japan	-1.000088900581841e-12	0	0.0	2009-01-08	-0.3855679312613042	-0.11444299639921456	3.3558454136339435	-8.542357052049951	-0.92037550011837	0.003511592647616595	11	0.6073516944008986	2009.024640657084	2009-01-09	6	japan_korea	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.003461	0.0	10.145227000000002	4.505433999999999	1.1710631558843552
A/Japan/WRAIR1140P/2009	0.0023475364077046174	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.0023475364077046174	japan	-1.000088900581841e-12	0	0.0	2009-02-09	-0.3855679312613042	0.26371137182564924	3.3558454136339435	-8.638350420905416	-1.8425671439944649	0.002338147653000419	9	-1.29062235060191	2009.1095140314853	2009-02-09	7	japan_korea	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.032425999999999996	0.0	7.145215	2.584605	1.4670336095689647
A/Kaliningrad/23/2009	0.0004235773032164464	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.0004235773032164464	russia	-9.99866855976916e-13	0	0.0	2009-03-01	-0.3855679312613042	0.5568542929301948	2.6199144018721143	-9.718531488193157	-0.03588826226240078	1.8844678979595024e-17	9	-1.29062235060191	2009.1670088980152	2009-03-02	6	west_asia	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.081843	0.0	7.145227	1.7950510000000002	1.9929550120036332
A/Kenya/1270/2009	0.00287912060266389	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.00287912060266389	kenya	-1.000088900581841e-12	0	0.0	2009-04-01	-0.3855679312613042	0.7004943242714221	2.6199144018721143	-9.718531488193157	-0.22547356606115224	0.0029227693500085412	12	1.5563387169023029	2009.2491444216287	2009-04-01	6	africa	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.13443	0.0	10.034179000000002	3.9815579999999997	1.333517600863793
A/KhanhHoa/KH475/2008	0.0016382277150281187	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.0016382277150281187	vietnam	-1.000088900581841e-12	0	0.0	2008-12-11	-0.3855679312613042	-0.22876873562998734	2.6199144018721143	-9.718531488193157	-1.782218290860471	0.0017523421457812144	11	0.6073516944008986	2008.9445585215606	2008-12-10	6	southeast_asia	-9.99866855976916e-13	True	2009-04-01	h3n2	ha	0.000162	0.0	9.145226999999998	3.7891329999999996	1.2711512006727301
A/Kiev/67/2009	0.0026394239594249858	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.0026394239594249858	ukraine	-1.000088900581841e-12	0	0.0	2009-03-11	-0.3855679312613042	-0.5893345285885784	3.3558454136339435	-8.543948911378477	-0.2147776325694002	0.002337964260726333	9	-1.29062235060191	2009.1943874058866	2009-03-12	6	europe	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.107581	0.0	8.141761	2.5798150000000004	1.658073259157202
A/Korea/7719/2008	0.005006588033170549	3.8435598708893295	3.0190487352213697	-14.288570059547446	4cd02c7	0.005006588033170549	south_korea	-1.000088900581841e-12	0	0.0	2008-12-08	-1.1596877922875446	0.15231706180592194	4.091776425395773	-6.724092842308383	-1.9396340373316392	0.005272770035978302	11	-0.3416353281005056	2008.9390828199869	2008-12-08	7	japan_korea	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.000127	0.0	14.361169000000006	10.574452	0.44159028892832225
A/Kuwait/WRAIR1143P/2009	0.0012713913972656823	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.0012713913972656823	kuwait	-1.000088900581841e-12	0	0.0	2009-01-01	-0.3855679312613042	-0.3577516209159874	3.3558454136339435	-8.638350420905416	-1.6604676504488336	0.0005857029651984369	10	-0.3416353281005056	2009.002737850787	2009-01-XX	7	west_asia	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.006281	0.0	8.145215	3.5720459999999994	1.1892021211587172
A/Kyrgyzstan/WRAIR1255P/2008	0.000915265456130118	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.000915265456130118	kyrgyzstan	-1.000088900581841e-12	0	0.0	2008-12-02	-0.3855679312613042	-1.7619062130067606	4.091776425395773	-7.536952877282327	-1.5998467481967031	0.0011682677016193925	9	-1.29062235060191	2008.9199178644767	2008-12-01	7	west_asia	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	5.2000000000000004e-05	0.0	8.145215	3.584504	1.1841792783156708
A/LiaoningTiedong/14/2008	0.008103820675000914	3.8435598708893295	3.0190487352213697	-14.288570059547446	91769ce	0.008103820675000914	china	-1.000088900581841e-12	0	0.0	2008-12-04	-1.8146993447967903	-6.516684393322491	3.3558454136339435	-8.270715484527033	-1.9383642874676896	0.0052714393232223536	12	1.5563387169023029	2008.9281314168368	2008-12-04	6	china	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	7.7e-05	0.0	14.138295000000006	8.678091000000002	0.7041585299103702
A/Madagascar/453/2009	0.002302255441814387	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.002302255441814387	madagascar	-1.000088900581841e-12	0	0.0	2009-02-10	-0.3855679312613042	0.5568542929301948	2.6199144018721143	-9.718531488193157	-0.7255964438977827	0.0011671087350110796	9	-1.29062235060191	2009.1149897330595	2009-02-11	6	africa	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.036149	0.0	7.145227	1.7950510000000002	1.9929550120036332
A/Malaysia/32/2009	0.004499999064626399	3.8435599882887073	3.0190487352213697	-14.288570059547446	050242e	0.004499999064626399	malaysia	-1.000088900581841e-12	0	0.0	2009-01-06	-1.0964433079427889	-2.1840320193973057	2.6199144018721143	-9.87063740133915	-1.956280228014733	0.002336752296825569	12	0.6073516944008986	2009.0164271047229	2009-01-06	6	southeast_asia	-9.99866855976916e-13	True	2009-04-01	h3n2	ha	0.0026379999999999997	0.0	11.808133	6.767747	0.8030333342575945
A/Montana/2/2008	0.0016365431253142356	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.0016365431253142356	usa	-1.000088900581841e-12	0	0.0	2008-12-10	-0.3855679312613042	-0.9938717597128512	3.3558454136339435	-8.550861579543886	-0.5654941130774417	0.0011676693521448336	9	-1.29062235060191	2008.9418206707733	2008-12-09	6	north_america	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.000143	0.0	8.145227	2.7947680000000004	1.5432263792303644
A/NewMexico/3/2009	0.003216353065246993	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.003216353065246993	usa	-1.000088900581841e-12	0	0.0	2009-01-26	-0.3855679312613042	0.5568542929301948	2.6199144018721143	-9.718531488193157	-1.272588674543901	0.002922929856834811	9	-1.29062235060191	2009.0739219712525	2009-01-27	6	north_america	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.014398	0.0	7.145227	1.7950510000000002	1.9929550120036332
A/Novosibirsk/319/2009	8.216731006188001e-05	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	8.216731006188001e-05	russia	-9.99866855976916e-13	0	0.0	2009-02-01	-0.3855679312613042	0.5568542929301948	2.6199144018721143	-9.718531488193157	0.24659480570850695	1.8844678979595024e-17	9	-1.29062235060191	2009.0876112251885	2009-02-XX	6	west_asia	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.043271	0.0	7.145227	1.7950510000000002	1.9929550120036332
A/Paris/1069/2009	0.0018741946644220762	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.0018741946644220762	france	-1.000088900581841e-12	0	0.0	2009-01-06	-0.3855679312613042	-0.14668871772071454	3.3558454136339435	-8.578471131661004	-0.5003324483368854	0.0017536466264069393	10	-0.3416353281005056	2009.0164271047229	2009-01-06	6	europe	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.0026379999999999997	0.0	9.145226999999998	3.7845049999999993	1.2729143674573797
A/Quebec/RV0899/2009	0.0017350514929135796	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.0017350514929135796	canada	-1.000088900581841e-12	0	0.0	2009-02-10	-0.3855679312613042	0.5568542929301948	2.6199144018721143	-9.718531488193157	-0.6700397060385972	0.0011676995534331794	9	-1.29062235060191	2009.1149897330595	2009-02-11	6	north_america	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.036149	0.0	7.145227	1.7950510000000002	1.9929550120036332
A/Stockholm/26/2008	0.000982317697069357	4.924500760581303	3.019048789394104	-13.463986823151801	41bb3e2	0.000982317697069357	sweden	-1.000088900581841e-12	0	4.375321681008103e-08	2008-11-12	-0.3855679312613042	-0.12616871324339635	3.3558454136339435	-8.652613403088164	-0.7744255439455542	0.0005838710713577707	9	-1.29062235060191	2008.8678986995208	2008-11-12	6	europe	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	4e-06	0.0	8.145049	2.7265360000000003	1.578854173618195
A/SuratThani/70/2009	0.003475353749709753	4.012775891725173	3.0190488384072163	-13.590384707972431	41bb3e2	0.003475353749709753	thailand	-1.000088900581841e-12	0	8.333920715671447e-08	2009-02-17	-0.3855679312613042	1.4568030607211495	2.6199144018721143	-9.718531488193157	-1.354800752941929	0.0035090287174764393	10	-0.3416353281005056	2009.1341546885694	2009-02-18	6	southeast_asia	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.051115	0.0	8.145227	2.6928240000000003	1.5968349659298353
A/Sydney/3/2009	0.0016561176288784206	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.0016561176288784206	australia	-1.000088900581841e-12	0	0.0	2009-01-19	-0.3855679312613042	-0.7036602678193511	3.3558454136339435	-8.554709673867979	-1.0071503156885098	0.0017522741535359126	10	-0.3416353281005056	2009.0547570157426	2009-01-20	6	oceania	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.008622	0.0	9.145226999999998	3.7605689999999994	1.2820680124303534
A/Taiwan/612/2008	0.002871319534995461	4.012775891725173	3.0779620653634137	-13.590384707972431	41bb3e2	0.002871319534995461	taiwan	-1.000088900581841e-12	0	0.0	2008-11-08	-0.3855679312613042	-0.7652202812513056	3.3558454136339435	-8.542357052049951	-1.7059520058413604	0.004682390978328396	11	0.6073516944008986	2008.8569472963725	2008-11-08	6	china	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	2e-06	0.0	11.145227000000002	5.424797	1.0387849439929284
A/Thailand/KS08239/2009	0.0026857910152323287	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.0026857910152323287	thailand	-1.000088900581841e-12	0	0.0	2009-03-06	-0.3855679312613042	-0.3225744703834419	2.6199144018721143	-9.718531488193157	-0.1774655009501941	0.001167222000156552	9	-0.3416353281005056	2009.177960301164	2009-03-06	6	southeast_asia	-9.99866855976916e-13	True	2009-04-01	h3n2	ha	0.092494	0.0	8.145227	2.4959379999999998	1.706372808317427
A/Umea/2/2009	0.00237892304630552	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.00237892304630552	sweden	-1.000088900581841e-12	0	0.0	2009-02-02	-0.3855679312613042	-0.3225744703834419	2.6199144018721143	-9.718531488193157	-1.2998288878760162	0.001167391021763419	9	-0.3416353281005056	2009.0930869267625	2009-02-03	6	europe	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.022803999999999998	0.0	8.145227	2.4959379999999998	1.706372808317427
A/Victoria/542/2008	0.0013353099628970464	4.012775936432863	3.0190487352213697	-13.590384707972431	41bb3e2	0.0013353099628970464	australia	-1.000088900581841e-12	0	0.0	2008-12-24	-0.3855679312613042	0.5568542929301948	2.6199144018721143	-9.718531488193157	-0.8478678846630308	0.001752268577384804	9	-1.29062235060191	2008.9801505817927	2008-12-23	6	oceania	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.0007070000000000001	0.0	7.145227	1.7950510000000002	1.9929550120036332
A/Washington/6/2009	0.0013975568820852394	4.012775891725173	3.0190487352213697	-13.590384707972431	41bb3e2	0.0013975568820852394	usa	-1.000088900581841e-12	0	0.0	2009-03-30	-0.3855679312613042	-0.1994544435195328	2.6199144018721143	-9.451704864691079	-0.17227671935024635	0.0011677858177135785	9	-1.29062235060191	2009.2436687200545	2009-03-30	6	north_america	-1.000088900581841e-12	True	2009-04-01	h3n2	ha	0.134049	0.0	8.145227	2.526956	1.6885543619688745
A/Bangladesh/2363/2009	0.0010194914852949056	5.7135419891500385	5.855643046109713	-8.297785677016783	956f201	0.0010194914852949056	bangladesh	-1.000088900581841e-12	0	0.0	2009-05-06	1.3746193480580358	0.5275400008197403	4.091776425395773	-7.668784343835705	0.9112141117621858	0.0005839946803773775	10	-0.3416353281005056	2009.3449691991784	2009-05-06	7	south_asia	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	1e-06	0.0	6.052529999999998	4.253307	0.508953333916038
A/Bhutan/154/2009	0.0010008139690981382	7.099280104712363	5.855644151272168	-6.029486261846019	c0ab28c	0.0010008139690981382	bhutan	-1.000088900581841e-12	0	0.0	2009-06-16	-1.9892948314185843	0.5568542929301948	4.827707437157604	-6.706136097525136	0.12903682196847854	0.0005839528920701055	9	-1.29062235060191	2009.459958932238	2009-06-17	7	south_asia	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	0.000295	0.0	6.406275	2.741013	1.2247765589701762
A/Brazil/1814/2009	0.005273634172868018	5.468209709800654	2.67209809007746	-15.301640333884336	41bb3e2	0.005273634172868018	brazil	-1.000088900581841e-12	0	0.0	2009-05-10	-5.499564056205426	-1.8439862309160333	3.3558454136339435	-9.758494129481274	-1.5695161054848359	0.004686420046532132	12	1.5563387169023029	2009.3586584531147	2009-05-11	6	south_america	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	2e-06	0.0	10.941742	8.995485000000002	0.28256947037177155
A/California/VRDL330/2009	0.0018857215507535048	7.0358860731836375	5.855644219280758	-6.029486261846019	e62a2e8	0.0018857215507535048	usa	-1.000088900581841e-12	0	0.0	2009-05-09	1.666359775398487	-0.3225744703834419	6.299569460681263	-4.89803415914931	-0.10894457720539356	0.0017535045923477508	10	-0.3416353281005056	2009.3531827515399	2009-05-09	7	north_america	-9.99866855976916e-13	True	2009-10-01	h3n2	ha	1e-06	0.0	9.406278000000002	4.836289999999999	0.9597232153236263
A/Colombia/7158/2009	0.0036921939948578657	5.468209709800654	2.67209809007746	-15.301640333884336	41bb3e2	0.0036921939948578657	colombia	-1.000088900581841e-12	0	0.0	2009-07-26	-5.499564056205426	0.5568542929301948	3.3558454136339435	-9.888013429676183	-1.8217630645238472	0.002339456504091997	9	-1.29062235060191	2009.5667351129364	2009-07-26	6	south_america	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	0.011262000000000001	0.0	8.413836999999996	5.9744100000000016	0.4939676217935752
A/CoteDIvoire/687/2009	0.0016461198235336733	5.468209709800654	2.67209809007746	-15.301640333884336	41bb3e2	0.0016461198235336733	cote_d_ivoire	-1.000088900581841e-12	0	0.0	2009-06-08	-5.499564056205426	0.6858371782161949	2.6199144018721143	-11.007324122405057	-1.2066498618076853	0.0017539090015669153	10	-0.3416353281005056	2009.4380561259409	2009-06-09	6	africa	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	0.00011399999999999999	0.0	8.413836999999996	5.9967060000000005	0.48859362561392916
A/Djibouti/N04765/2009	0.00010183523887763446	5.7135419891500385	5.855643046109713	-8.297785677016783	956f201	0.00010183523887763446	djibouti	-1.000088900581841e-12	0	0.0	2009-05-23	1.3746193480580358	0.905694369044604	4.091776425395773	-7.668784343835705	1.4719776346652895	1.8490838543351624e-17	9	-1.29062235060191	2009.3915126625602	2009-05-XX	7	africa	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	4e-06	0.0	5.052528999999999	3.253312	0.6350965105246628
A/Egypt/N11008/2009	0.0018978881237817558	5.7135419891500385	5.855643046109713	-8.297785677016783	956f201	0.0018978881237817558	egypt	-9.99866855976916e-13	0	0.0	2009-09-01	1.3746193480580358	0.905694369044604	4.091776425395773	-7.668784343835705	0.5366416521270854	0.0017552260425169085	9	-1.29062235060191	2009.6680355920605	2009-09-XX	7	africa	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	0.11136800000000001	0.0	5.052528999999999	3.253312	0.6350965105246628
A/Guam/1/2009	0.002794703705026845	6.94184134828125	6.554303887996973	-6.040303628886328	e62a2e8	0.002794703705026845	guam	-1.000088900581841e-12	0	0.5642803270365266	2009-05-14	1.666359775398487	-3.7347580720403526	6.299569460681263	-4.8360305184748364	-0.16996637451952662	0.0029361855800938306	13	2.5053257394037067	2009.3696098562627	2009-05-15	7	oceania	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	4e-06	0.0	12.406281000000002	7.801500999999998	0.6692470784784627
A/Honduras/2426/2009	0.006035725248317497	5.468209795498823	2.67209809007746	-15.301640333884336	41bb3e2	0.006035725248317497	honduras	-1.000088900581841e-12	0	0.0	2009-07-12	-5.499564056205426	-0.7857402857286239	2.6199144018721143	-11.007324122405057	-1.7470935447881542	0.005273416913940602	10	-0.3416353281005056	2009.5311430527038	2009-07-13	6	north_america	-9.99866855976916e-13	True	2009-10-01	h3n2	ha	0.0040149999999999995	0.0	8.008633999999999	5.9582060000000014	0.4266781845885788
A/HongKong/26560/2009	0.0016878094550272713	6.9418450800449145	5.855644219280758	-6.029486261846019	e62a2e8	0.0016878094550272713	hong_kong	-9.99866855976916e-13	0	0.0	2009-09-17	1.666359775398487	-0.21704301878580556	6.299569460681263	-4.85335193964724	0.6657411389823783	0.001754612055597302	11	0.6073516944008986	2009.7145790554414	2009-09-18	7	china	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	0.115718	0.0	9.941186	5.141983	0.9510931375094972
A/HongKong/H090-662-V10/2009	0.00033412295162120464	7.099280104712363	5.855644151272168	-5.002599874695312	c0ab28c	0.00033412295162120464	hong_kong	-1.000088900581841e-12	0	0.0	2009-06-30	-1.9892948314185843	-1.3309861189830787	5.563638448919432	-5.7766434745486555	-0.6835663613557209	1.8451276931173205e-17	10	-0.3416353281005056	2009.495550992471	2009-06-30	7	china	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	0.001193	0.0	7.5534859999999995	4.6142	0.7110620763211865
A/HongKong/H090-729-V1/2009	0.0019167626250750774	6.941844174959457	5.855644219280758	-6.029486261846019	e62a2e8	0.0019167626250750774	hong_kong	-1.000088900581841e-12	0	0.0	2009-07-20	1.666359775398487	0.5568542929301948	5.563638448919432	-5.737627826046983	0.18992938097538875	0.0017523082336627278	9	-1.29062235060191	2009.5530458590008	2009-07-21	7	china	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	0.00774	0.0	7.406275999999998	2.8363000000000005	1.3847381767238036
A/HongKong/H090-763-V23/2009	0.0011115425456468958	7.0358860731836375	5.855644219280758	-6.029486261846019	e62a2e8	0.0011115425456468958	hong_kong	-1.000088900581841e-12	0	0.0	2009-08-03	1.666359775398487	0.5568542929301948	5.563638448919432	-5.737627826046983	-0.8180248669281271	0.0005839528148237923	9	-1.29062235060191	2009.5886379192334	2009-08-03	7	china	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	0.019400999999999998	0.0	7.406275999999998	2.8363000000000005	1.3847381767238036
A/India/2710/2009	0.002042273220076614	5.7135419891500385	5.855643046109713	-8.297785677016783	956f201	0.002042273220076614	india	-1.000088900581841e-12	0	0.0	2009-09-19	1.3746193480580358	0.905694369044604	4.091776425395773	-7.668784343835705	0.4292022498781459	0.0017554154679073474	9	-1.29062235060191	2009.7173169062287	2009-09-19	7	south_asia	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	0.117283	0.0	5.052528999999999	3.253312	0.6350965105246628
A/India/483/2009	0.0008019018136796938	5.7135419891500385	5.855643046109713	-8.297785677016783	956f201	0.0008019018136796938	india	-1.000088900581841e-12	0	0.0	2009-07-05	1.3746193480580358	0.905694369044604	4.091776425395773	-7.668784343835705	0.7292611622126606	0.000584008106058801	9	-1.29062235060191	2009.5119780971936	2009-07-06	7	south_asia	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	0.002137	0.0	5.052528999999999	3.253312	0.6350965105246628
A/Johannesburg/1250/2009	0.001843584572221786	5.7135419891500385	5.855643046109713	-8.297785677016783	956f201	0.001843584572221786	south_africa	-1.000088900581841e-12	0	0.0	2009-07-15	1.3746193480580358	0.08489418995187642	4.091776425395773	-7.668784343835705	-0.01472667078855279	0.002339748096320164	12	1.5563387169023029	2009.536618754278	2009-07-15	7	africa	-1.000088900581841e-12	True	2009-10-01	h3n2	ha	0.004762	0.0	8.052532	6.224731	0.371430995885778
