model	predictor	timepoint	coefficient
HI antigenic novelty + mutational load + LBI	cTiter_x	2008-10-01	1.033
HI antigenic novelty + mutational load + LBI	ne_star	2008-10-01	-0.774
HI antigenic novelty + mutational load + LBI	lbi	2008-10-01	-0.005
HI antigenic novelty + mutational load + LBI	cTiter_x	2009-04-01	1.051
HI antigenic novelty + mutational load + LBI	ne_star	2009-04-01	-0.833
HI antigenic novelty + mutational load + LBI	lbi	2009-04-01	-0.034
HI antigenic novelty + mutational load + LBI	cTiter_x	2009-10-01	0.84
HI antigenic novelty + mutational load + LBI	ne_star	2009-10-01	-0.927
HI antigenic novelty + mutational load + LBI	lbi	2009-10-01	-0.017
HI antigenic novelty + mutational load + LBI	cTiter_x	2010-04-01	0.983
HI antigenic novelty + mutational load + LBI	ne_star	2010-04-01	-0.905
HI antigenic novelty + mutational load + LBI	lbi	2010-04-01	-0.047
HI antigenic novelty + mutational load + LBI	cTiter_x	2010-10-01	0.896
HI antigenic novelty + mutational load + LBI	ne_star	2010-10-01	-0.919
HI antigenic novelty + mutational load + LBI	lbi	2010-10-01	-0.074
HI antigenic novelty + mutational load + LBI	cTiter_x	2011-04-01	0.929
HI antigenic novelty + mutational load + LBI	ne_star	2011-04-01	-0.878
HI antigenic novelty + mutational load + LBI	lbi	2011-04-01	-0.094
HI antigenic novelty + mutational load + LBI	cTiter_x	2011-10-01	0.564
HI antigenic novelty + mutational load + LBI	ne_star	2011-10-01	-0.883
HI antigenic novelty + mutational load + LBI	lbi	2011-10-01	-0.082
HI antigenic novelty + mutational load + LBI	cTiter_x	2012-04-01	0.594
HI antigenic novelty + mutational load + LBI	ne_star	2012-04-01	-0.798
HI antigenic novelty + mutational load + LBI	lbi	2012-04-01	-0.035
HI antigenic novelty + mutational load + LBI	cTiter_x	2012-10-01	0.794
HI antigenic novelty + mutational load + LBI	ne_star	2012-10-01	-0.486
HI antigenic novelty + mutational load + LBI	lbi	2012-10-01	-0.022
HI antigenic novelty + mutational load + LBI	cTiter_x	2013-04-01	0.566
HI antigenic novelty + mutational load + LBI	ne_star	2013-04-01	-0.488
HI antigenic novelty + mutational load + LBI	lbi	2013-04-01	-0.016
HI antigenic novelty + mutational load + LBI	cTiter_x	2013-10-01	0.566
HI antigenic novelty + mutational load + LBI	ne_star	2013-10-01	-0.346
HI antigenic novelty + mutational load + LBI	lbi	2013-10-01	0.02
HI antigenic novelty + mutational load + LBI	cTiter_x	2014-04-01	0.57
HI antigenic novelty + mutational load + LBI	ne_star	2014-04-01	-0.325
HI antigenic novelty + mutational load + LBI	lbi	2014-04-01	0.021
HI antigenic novelty + mutational load + LBI	cTiter_x	2014-10-01	0.492
HI antigenic novelty + mutational load + LBI	ne_star	2014-10-01	-0.311
HI antigenic novelty + mutational load + LBI	lbi	2014-10-01	0.076
